"STATION","NAME","DATE","TAVG"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-11-28","50"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-11-29","60"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-11-30","56"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-12-01","44"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-12-02","49"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-12-03","61"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-12-04","65"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-12-05","62"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-12-06","61"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-12-07","48"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-12-08","37"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-12-09","37"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-12-10","35"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-12-11","34"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-12-12","39"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-12-13","41"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-12-14","37"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-12-15","37"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-12-16","36"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-12-17","34"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-12-18","39"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-12-19","42"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-12-20","40"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-12-21","33"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-12-22","14"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-12-23","17"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-12-24","22"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-12-25","22"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-12-26","27"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-12-27","34"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-12-28","27"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-12-29","28"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-12-30","12"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-12-31","11"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1999-01-01","8"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1999-01-02","27"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1999-01-03","15"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1999-01-04","3"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1999-01-05","5"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1999-01-06","27"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1999-01-07","12"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1999-01-08","20"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1999-01-09","5"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1999-01-10","7"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1999-01-11","24"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1999-01-12","39"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1999-01-13","29"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1999-01-14","17"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1999-01-15","23"
